,Module,Smiles,BGC_Compound
1,AceP1_Mod.0,CNc1ccc(C(=O)[S])cc1,67-121C
2,AceP1_Mod.1,CNc1ccc(C(=O)CC(=O)[S])cc1,67-121C
3,AceP2_Mod.2,CNc1ccc(C(=O)C[C@@H](O)CC(=O)[S])cc1,67-121C
4,AceP2_Mod.3,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)C(=O)[S])cc1,67-121C
5,AceP2_Mod.4,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C(=O)[S])cc1,67-121C
6,AceP3_Mod.5,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C(=O)[S])cc1,67-121C
7,AceP3_Mod.6,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C(=O)[S])cc1,67-121C
8,AceP3_Mod.7,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C(=O)[S])cc1,67-121C
9,AceP3_Mod.8,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C(=O)[S])cc1,67-121C
10,AceP3_Mod.9,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C(=O)[S])cc1,67-121C
11,AceP3_Mod.10,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C(=O)[S])cc1,67-121C
12,AceP4_Mod.11,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C(=O)[S])cc1,67-121C
13,AceP4_Mod.12,CNc1ccc(C(=O)C[C@@H](O)C[CH][C@H](C)[C@@H](O)[C@@H](C)C=[C]C=[C]C=[C]C=[C]C=[C]C=[C]C=[C][C@H](O)CC(=O)[S])cc1,67-121C
