"","MiBIG BGC number"
"1","BGC0001491"
"2","BGC0000001"
"3","BGC0001492"
"4","BGC0001495"
"5","BGC0001220"
"6","BGC0000002"
"7","BGC0000297"
"8","BGC0000955"
"9","BGC0001415"
"10","BGC0001131"
"11","BGC0000300"
"12","BGC0000302"
"13","BGC0000301"
"14","BGC0000018"
"15","BGC0000020"
"16","BGC0001433"
"17","BGC0000305"
"18","BGC0000307"
"19","BGC0000029"
"20","BGC0000310"
"21","BGC0000028"
"22","BGC0000311"
"23","BGC0001135"
"24","BGC0001532"
"25","BGC0001533"
"26","BGC0000031"
"27","BGC0001381"
"28","BGC0000315"
"29","BGC0000032"
"30","BGC0000034"
"31","BGC0000061"
"32","BGC0000035"
"33","BGC0001287"
"34","BGC0001172"
"35","BGC0000036"
"36","BGC0000970"
"37","BGC0000325"
"38","BGC0000038"
"39","BGC0001192"
"40","BGC0000040"
"41","BGC0000041"
"42","BGC0000042"
"43","BGC0000330"
"44","BGC0000981"
"45","BGC0000978"
"46","BGC0000982"
"47","BGC0000336"
"48","BGC0001569"
"49","BGC0000984"
"50","BGC0000047"
"51","BGC0001119"
"52","BGC0000050"
"53","BGC0000052"
"54","BGC0001580"
"55","BGC0001582"
"56","BGC0000991"
"57","BGC0000989"
"58","BGC0000988"
"59","BGC0000990"
"60","BGC0000054"
"61","BGC0000055"
"62","BGC0000058"
"63","BGC0000994"
"64","BGC0001130"
"65","BGC0001233"
"66","BGC0001095"
"67","BGC0000407"
"68","BGC0000059"
"69","BGC0001597"
"70","BGC0000060"
"71","BGC0001152"
"72","BGC0000067"
"73","BGC0000066"
"74","BGC0000997"
"75","BGC0000366"
"76","BGC0000367"
"77","BGC0001414"
"78","BGC0001828"
"79","BGC0000998"
"80","BGC0001166"
"81","BGC0000073"
"82","BGC0000369"
"83","BGC0000074"
"84","BGC0001065"
"85","BGC0001349"
"86","BGC0001194"
"87","BGC0000075"
"88","BGC0000078"
"89","BGC0000079"
"90","BGC0001628"
"91","BGC0001066"
"92","BGC0000082"
"93","BGC0001635"
"94","BGC0000084"
"95","BGC0000085"
"96","BGC0000087"
"97","BGC0000086"
"98","BGC0001003"
"99","BGC0001370"
"100","BGC0001004"
"101","BGC0001183"
"102","BGC0000383"
"103","BGC0001477"
"104","BGC0001657"
"105","BGC0000097"
"106","BGC0000090"
"107","BGC0001662"
"108","BGC0000092"
"109","BGC0000093"
"110","BGC0001012"
"111","BGC0000094"
"112","BGC0001018"
"113","BGC0000100"
"114","BGC0001670"
"115","BGC0000102"
"116","BGC0000103"
"117","BGC0001103"
"118","BGC0000105"
"119","BGC0000106"
"120","BGC0001690"
"121","BGC0000125"
"122","BGC0000108"
"123","BGC0000109"
"124","BGC0000113"
"125","BGC0000114"
"126","BGC0001702"
"127","BGC0001195"
"128","BGC0001028"
"129","BGC0001709"
"130","BGC0000115"
"131","BGC0000116"
"132","BGC0000117"
"133","BGC0000399"
"134","BGC0000398"
"135","BGC0000400"
"136","BGC0001394"
"137","BGC0000122"
"138","BGC0000123"
"139","BGC0001169"
"140","BGC0000126"
"141","BGC0001153"
"142","BGC0000413"
"143","BGC0000133"
"144","BGC0001040"
"145","BGC0000135"
"146","BGC0000416"
"147","BGC0000136"
"148","BGC0000137"
"149","BGC0000418"
"150","BGC0000142"
"151","BGC0000144"
"152","BGC0001042"
"153","BGC0001773"
"154","BGC0000424"
"155","BGC0000425"
"156","BGC0000426"
"157","BGC0001072"
"158","BGC0000429"
"159","BGC0000110"
"160","BGC0000148"
"161","BGC0000430"
"162","BGC0000151"
"163","BGC0001296"
"164","BGC0001046"
"165","BGC0001790"
"166","BGC0000433"
"167","BGC0001792"
"168","BGC0000157"
"169","BGC0000158"
"170","BGC0000159"
"171","BGC0001133"
"172","BGC0001207"
"173","BGC0000163"
"174","BGC0000164"
"175","BGC0000165"
"176","BGC0001052"
"177","BGC0000447"
"178","BGC0000166"
"179","BGC0000452"
"180","BGC0000455"
"181","BGC0001204"
"182","BGC0000461"
"183","BGC0001132"
