,Gene,Upstream,Downstream
36,aalA1_Mod.1,NA,mmal
37,aalA1_Mod.2,mmal,mmal
38,aalA1_Mod.3,mmal,mmal
39,aalA1_Mod.4,mmal,mmal
40,aalA2_Mod.1,mmal,mmal
41,aalA2_Mod.2,mmal,mmal
42,aalA2_Mod.3,mmal,mal
43,aalA2_Mod.4,mal,mmal
44,aalA3_Mod.1,mmal,mmal
45,aalA3_Mod.2,mmal,NA
46,aalA3_Mod.3,NA,mal
23,AbsB1_Mod.0,NA,mal
25,AbsB1_Mod.1,mal,mal
27,AbsB1_Mod.2,mal,mal
29,AbsB1_Mod.3,mal,mal
31,AbsB2_Mod.1,mal,mmal
33,AbsB2_Mod.2,mmal,mmal
35,AbsB3_Mod.1,mmal,mal
22,abyB1_Mod.1,NA,mal
24,abyB1_Mod.2,mal,mal
26,abyB1_Mod.3,mal,mal
28,abyB1_Mod.4,mal,mal
30,abyB2_Mod.1,mal,mmal
32,abyB2_Mod.2,mmal,mmal
34,abyB3_Mod.1,mmal,mal
1,AceP1_Mod.1,NA,mal
2,AceP2_Mod.1,mal,mal
3,AceP2_Mod.2,mal,mmal
4,AceP2_Mod.3,mmal,mmal
5,AceP3_Mod.1,mmal,mal
6,AceP3_Mod.2,mal,mal
7,AceP3_Mod.3,mal,mal
8,AceP3_Mod.4,mal,mal
9,AceP3_Mod.5,mal,mal
10,AceP3_Mod.6,mal,mal
11,AceP4_Mod.1,mal,mal
12,AceP4_Mod.2,mal,mal
13,AceP4_Mod.3,mal,mmal
14,AceP4_Mod.4,mmal,mal
15,AceP4_Mod.5,mal,mal
16,AceP4_Mod.6,mal,mal
17,AceP5_Mod.1,mal,mal
18,AceP5_Mod.2,mal,mal
19,AceP6_Mod.1,mal,mal
20,AceP6_Mod.2,mal,mal
21,AceP6_Mod.3,mal,mal
47,acuAI_Mod.0,NA,mmal
48,acuAI_Mod.1,mmal,mmal
49,acuAI_Mod.2,mmal,mal
50,acuAII_Mod.0,mal,mal
51,acuAII_Mod.1,mal,mal
52,acuAII_Mod.2,mal,mmal
53,acuAIII_Mod.1,mmal,mal
54,acuAIV_Mod.1,mal,mal
55,acuAIV_Mod.2,mal,mmal
56,acuAV_Mod.1,mmal,mal
57,acuAV_Mod.2,mal,mal
58,acuAV_Mod.3,mal,mmal
59,acuAVI_Mod.1,mmal,mal
60,acuAVI_Mod.2,mal,mal
61,acuAVI_Mod.3,mal,mal
62,acuAVI_Mod.4,mal,mmal
63,acuAVI_Mod.5,mmal,mal
64,acuAVII_Mod.1,mal,mal
65,acuAVII_Mod.2,mal,mal
66,acuAVIII_Mod.1,mal,mal
67,acuAVIII_Mod.2,mal,mmal
261,aizA_mod.1,NA,mal
262,aizA_mod.2,mal,mal
263,aizA_mod.3,mal,mal
264,aizA_mod.4,mal,mal
265,aizA_mod.5,mal,mal
266,aizB_mod.6,mal,mal
267,aizB_mod.7,mal,mal
270,aizC_mod.10,mal,mal
271,aizC_mod.11,mal,mal
268,aizC_mod.8,mal,mal
269,aizC_mod.9,mal,mal
272,aizD_mod.12,mal,mmal
273,aizD_mod.13,mmal,mal
274,aizD_mod.14,mal,mal
