,Gene,Upstream,Downstream
36,aalA1_Mod.1,NA,NA
37,aalA1_Mod.2,NA,NA
38,aalA1_Mod.3,NA,NA
39,aalA1_Mod.4,NA,NA
40,aalA2_Mod.1,NA,NA
41,aalA2_Mod.2,NA,NA
42,aalA2_Mod.3,mmal,mal
43,aalA2_Mod.4,mal,mmal
44,aalA3_Mod.1,NA,NA
45,aalA3_Mod.2,NA,NA
46,aalA3_Mod.3,NA,NA
23,AbsB1_Mod.0,NA,NA
25,AbsB1_Mod.1,NA,NA
27,AbsB1_Mod.2,NA,NA
29,AbsB1_Mod.3,NA,NA
31,AbsB2_Mod.1,mal,mmal
33,AbsB2_Mod.2,NA,NA
35,AbsB3_Mod.1,mmal,mal
22,abyB1_Mod.1,NA,NA
24,abyB1_Mod.2,NA,NA
26,abyB1_Mod.3,NA,NA
28,abyB1_Mod.4,NA,NA
30,abyB2_Mod.1,mal,mmal
32,abyB2_Mod.2,NA,NA
34,abyB3_Mod.1,mmal,mal
1,AceP1_Mod.1,NA,NA
2,AceP2_Mod.1,NA,NA
3,AceP2_Mod.2,mal,mmal
4,AceP2_Mod.3,NA,NA
5,AceP3_Mod.1,mmal,mal
6,AceP3_Mod.2,NA,NA
7,AceP3_Mod.3,NA,NA
8,AceP3_Mod.4,NA,NA
9,AceP3_Mod.5,NA,NA
10,AceP3_Mod.6,NA,NA
11,AceP4_Mod.1,NA,NA
12,AceP4_Mod.2,NA,NA
13,AceP4_Mod.3,mal,mmal
14,AceP4_Mod.4,mmal,mal
15,AceP4_Mod.5,NA,NA
16,AceP4_Mod.6,NA,NA
17,AceP5_Mod.1,NA,NA
18,AceP5_Mod.2,NA,NA
19,AceP6_Mod.1,NA,NA
20,AceP6_Mod.2,NA,NA
21,AceP6_Mod.3,NA,NA
47,acuAI_Mod.0,NA,NA
48,acuAI_Mod.1,NA,NA
49,acuAI_Mod.2,mmal,mal
50,acuAII_Mod.0,NA,NA
51,acuAII_Mod.1,NA,NA
52,acuAII_Mod.2,mal,mmal
53,acuAIII_Mod.1,mmal,mal
54,acuAIV_Mod.1,NA,NA
55,acuAIV_Mod.2,mal,mmal
56,acuAV_Mod.1,mmal,mal
57,acuAV_Mod.2,NA,NA
58,acuAV_Mod.3,mal,mmal
59,acuAVI_Mod.1,mmal,mal
60,acuAVI_Mod.2,NA,NA
61,acuAVI_Mod.3,NA,NA
62,acuAVI_Mod.4,mal,mmal
63,acuAVI_Mod.5,mmal,mal
64,acuAVII_Mod.1,NA,NA
65,acuAVII_Mod.2,NA,NA
66,acuAVIII_Mod.1,NA,NA
67,acuAVIII_Mod.2,mal,mmal
261,aizA_mod.1,NA,NA
262,aizA_mod.2,NA,NA
263,aizA_mod.3,NA,NA
264,aizA_mod.4,NA,NA
265,aizA_mod.5,NA,NA
266,aizB_mod.6,NA,NA
267,aizB_mod.7,NA,NA
270,aizC_mod.10,NA,NA
271,aizC_mod.11,NA,NA
268,aizC_mod.8,NA,NA
269,aizC_mod.9,NA,NA
272,aizD_mod.12,mal,mmal
273,aizD_mod.13,mmal,mal
274,aizD_mod.14,NA,NA
275,aizD_mod.15,NA,NA
276,aizE_mod.16,NA,NA
277,aizE_mod.17,NA,NA
278,aizE_mod.18,NA,NA
279,aizF_mod.19,mal,mmal
280,aizF_mod.20,NA,NA
281,aizG_mod.21,mmal,mal
282,aizG_mod.22,NA,NA
283,aizG_mod.23,NA,NA
284,aizG_mod.24,NA,NA
285,aizH_mod.25,NA,NA
286,aizH_mod.26,NA,NA
1127,almHI_Mod.0,NA,NA
1128,almHI_Mod.1,mal,mmal
1129,almHI_Mod.2,NA,NA
1130,almHI_Mod.3,mmal,mal
1131,almHII_Mod.4,NA,NA
1132,almHIII_Mod.5,mal,mmal
1133,almHIII_Mod.6,NA,NA
1134,almHIV_Mod.7,NA,NA
1135,almHV_Mod.8,mmal,mal
68,angAI_Mod.1,NA,NA
69,angAI_Mod.2,NA,NA
70,angAI_Mod.3,NA,NA
71,angAII_Mod.1,mmal,mal
72,angAIII_Mod.1,mal,mmal
73,angAIII_Mod.2,NA,NA
74,angAIV_Mod.1,NA,NA
75,angAV_Mod.1,mmal,mal
83,arpPI_Mod.1,NA,NA
84,arpPI_Mod.2,NA,NA
85,arpPI_Mod.3,NA,NA
86,arpPII_Mod.1,NA,NA
87,arpPII_Mod.2,NA,NA
88,arpPIII_Mod.1,NA,NA
76,asmA_Mod.1,NA,NA
77,asmA_Mod.2,mmal,mal
78,asmB_Mod.1,NA,NA
79,asmB_Mod.2,NA,NA
80,asmC_Mod.1,mal,mmal
81,asmD_Mod.1,NA,NA
82,asmD_Mod.2,mmal,mal
1153,azlA_Mod.18,NA,NA
1136,azlB_Mod.0,NA,NA
1137,azlB_Mod.1,NA,NA
1138,azlB_Mod.2,NA,NA
1139,azlC_Mod.3,NA,NA
1140,azlC_Mod.4,NA,NA
1141,azlD_Mod.5,NA,NA
1142,azlD_Mod.6,NA,NA
1143,azlD_Mod.7,NA,NA
1146,azlE_Mod.10,NA,NA
1147,azlE_Mod.11,NA,NA
1148,azlE_Mod.12,NA,NA
1144,azlE_Mod.8,NA,NA
1145,azlE_Mod.9,NA,NA
1149,azlF_Mod.13,NA,NA
1150,azlF_Mod.14,NA,NA
1151,azlG_Mod.15,NA,NA
1152,azlG_Mod.16,NA,NA
1154,azlH_Mod.19,mal,mmal
97,BafAI_Mod.0,NA,NA
98,BafAI_Mod.1,NA,NA
99,BafAI_Mod.2,mmal,mal
100,BafAI_Mod.3,mal,mmal
101,BafAII_Mod.1,NA,NA
102,BafAII_Mod.2,NA,NA
103,BafAII_Mod.3,NA,NA
104,BafAIII_Mod.1,mal,mmal
105,BafAIII_Mod.2,NA,NA
106,BafAIV_Mod.1,NA,NA
108,BafAIV_Mod.2,NA,NA
107,BafAV_Mod.1,NA,NA
89,becB_Mod.1,NA,NA
90,becB_Mod.2,mal,mmal
91,becD_Mod.1,mmal,mal
92,becD_Mod.2,NA,NA
93,becE_Mod.1,NA,NA
94,becF_Mod.1,NA,NA
95,becF_Mod.2,NA,NA
96,becG_Mod.1,NA,NA
110,bor2A1_Mod.0,NA,NA
112,bor2A2_Mod.1,NA,NA
114,bor2A3_Mod.1,NA,NA
116,bor2A3_Mod.2,NA,NA
118,bor2A4_Mod.1,NA,NA
120,bor2A5_Mod.1,NA,NA
121,bor2A6_Mod.1,mmal,mal
109,borA1_Mod.0,NA,NA
111,borA2_Mod.1,NA,NA
113,borA3_Mod.1,NA,NA
115,borA3_Mod.2,mal,mmal
117,borA4_Mod.1,NA,NA
119,borA5_Mod.1,NA,NA
122,borA6_Mod.1,NA,NA
1156,btlA_Mod.1,NA,NA
1157,btlA_Mod.2,mmal,mal
1158,btlA_Mod.3,NA,NA
1159,btlB_Mod.4,NA,NA
1160,btlC_Mod.5,NA,NA
1161,btlC_Mod.6,NA,NA
1162,btlD_Mod.7,NA,NA
1163,btlD_Mod.8,NA,NA
1164,btlE_Mod.9,NA,NA
215,cfa6_Mod.0,NA,NA
216,cfa6_Mod.1,NA,NA
217,cfa7_Mod.1,NA,NA
183,ChlA1_Mod.0,NA,NA
184,ChlA1_Mod.1,mal,mmal
185,ChlA1_Mod.2,mmal,mal
186,ChlA2_Mod.1,NA,NA
187,ChlA2_Mod.2,NA,NA
188,ChlA3_Mod.1,NA,NA
189,ChlA3_Mod.2,NA,NA
190,ChlA3_Mod.3,NA,NA
191,ChlA4_Mod.1,NA,NA
192,ChlA5_Mod.1,NA,NA
193,ChlA5_Mod.2,mal,mmal
194,ChlA6_Mod.1,mmal,mal
162,chmGI_Mod.1,NA,NA
163,chmGI_Mod.2,mal,mmal
164,chmGI_Mod.3,mmal,mal
165,chmGII_Mod.1,NA,NA
166,chmGIII_Mod.1,mal,mmal
167,chmGIII_Mod.2,NA,NA
169,chmGIV_Mod.1,mal,mmal
168,chmGV_Mod.1,mmal,mal
568,cle1_Mod.1,NA,NA
569,cle1_Mod.2,NA,NA
570,cle1_Mod.3,NA,NA
571,cle1_Mod.4,NA,NA
572,cle1_Mod.5,NA,NA
573,cle2_Mod.1,NA,NA
574,cle2_Mod.2,NA,NA
575,cle3_Mod.1,NA,NA
576,cle3_Mod.2,NA,NA
577,cle3_Mod.3,NA,NA
578,cle3_Mod.4,NA,NA
579,cle3_Mod.5,NA,NA
580,cle4_Mod.1,mal,mmal
581,cle5_Mod.1,mmal,mal
582,cle5_Mod.2,NA,NA
583,cle5_Mod.3,NA,NA
584,cle6_Mod.1,NA,NA
585,cle6_Mod.2,NA,NA
586,cle6_Mod.3,NA,NA
587,cle6_Mod.4,NA,NA
588,cle7_Mod.1,mal,mmal
589,cle7_Mod.2,NA,NA
590,cle8_Mod.1,mmal,mal
591,cle8_Mod.2,NA,NA
592,cle8_Mod.3,NA,NA
593,cle9_Mod.1,NA,NA
594,cle9_Mod.2,mal,mmal
180,clz6_Mod.1,NA,NA
181,clz6_Mod.2,NA,NA
182,clz7_Mod.1,NA,NA
218,cmiP1_Mod.1,NA,NA
219,cmiP1_Mod.2,NA,NA
220,cmiP5_Mod.1,NA,NA
221,cmiP5_Mod.2,NA,NA
226,cmiP6_Mod.1,NA,NA
223,cmiP7_Mod.1,NA,NA
224,cmiP7_Mod.2,mal,mmal
225,cmiP7_Mod.3,mmal,mal
222,cmiP8_Mod.1,NA,NA
201,conA_Mod.0,NA,NA
202,conA_Mod.1,NA,NA
203,conB_Mod.2,mal,mmal
204,conB_Mod.3,mmal,mal
205,conB_Mod.4,mal,mmal
206,conC_Mod.5,NA,NA
207,conC_Mod.6,mmal,mal
208,conC_Mod.7,NA,NA
209,conD_Mod.8,mal,mmal
210,conD_Mod.9,NA,NA
211,conE_Mod.10,NA,NA
212,conE_Mod.11,NA,NA
213,conE_Mod.12,NA,NA
214,conF_Mod.13,mmal,mal
810,cppA_Mod.1,NA,NA
811,cppB_Mod.1,mal,mmal
812,cppB_Mod.2,NA,NA
813,cppC_Mod.1,mmal,mal
814,cppC_Mod.2,NA,NA
815,cppC_Mod.3,NA,NA
816,cppC_Mod.4,NA,NA
817,cppC_Mod.5,NA,NA
818,cppC_Mod.6,NA,NA
819,cppI_Mod.1,NA,NA
820,cppI_Mod.2,NA,NA
821,cppI_Mod.3,mal,mmal
822,cppI_Mod.4,mmal,mal
823,cppI_Mod.5,NA,NA
824,cppI_Mod.6,NA,NA
825,cppJ_Mod.1,NA,NA
826,cppJ_Mod.2,NA,NA
827,cppJ_Mod.3,NA,NA
828,cppK_Mod.1,NA,NA
232,ctaB_Mod.1,NA,NA
233,ctaD_Mod.1,NA,NA
234,ctaE_Mod.1,NA,NA
235,ctaF_Mod.1,NA,NA
170,cxmA_Mod.1,NA,NA
171,cxmA_Mod.2,mmal,mal
172,cxmA_Mod.3,mal,mmal
173,cxmB_Mod.4,NA,NA
174,cxmB_Mod.5,NA,NA
175,cxmB_Mod.6,NA,NA
176,cxmC_Mod.8,NA,NA
177,cxmD_Mod.9,NA,NA
178,cxmE_Mod.10,mmal,mal
